x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sandeep Dikshit,"669,527",56.2%,Indian National Congress, AC View
2,2,Lal Bihari Tiwari,"439,748",36.9%,Bharatiya Janta Party, AC View
3,3,Bal Raj Singh,"50,985",4.3%,Bahujan Samaj Party, AC View
4,4,Anil Kumar Sharma,"4,977",0.4%,Labour Party Of India (V.V. PRASAD), AC View
5,5,Brahamjeet,"2,671",0.2%,Independent, AC View
6,6,Gopal Hindustani,"2,657",0.2%,Independent, AC View
7,7,Anil Kumar Jatav,"2,528",0.2%,Independent, AC View
8,8,Pawan Kumar,"2,460",0.2%,Independent, AC View
9,9,Mohd. Hasnain,"2,005",0.2%,Independent, AC View
10,10,Harish Tyagi,"1,564",0.1%,Independent, AC View
11,11,Ram Samujha,"1,377",0.1%,Apna Dal, AC View
12,12,Satya Rani Sharma,"1,131",0.1%,Bharatiya Republican Paksha, AC View
13,13,Amar Singh,"1,102",0.1%,Labour Party (Secular), AC View
14,14,Arjun Prashad,861,0.1%,Rashtriya Swabhimaan Party, AC View
15,15,R. S. Adil,831,0.1%,National Loktantrik Party, AC View
16,16,Harender Kumar,788,0.1%,Independent, AC View
17,17,Bhima Wel,719,0.1%,Parivartan Samaj Party, AC View
18,18,Manjit,672,0.1%,Independent, AC View
19,19,Pradeep Kumar,638,0.1%,All India Forward Bloc, AC View
20,20,P. C. Mohan,598,0.1%,Independent, AC View
21,21,Mohd. Iqbal Quereshi,573,0.0%,Bharatiya Prajatantra Party, AC View
22,22,Nafees,556,0.0%,Navbharat Nirman Party, AC View
23,23,Avinash Puri,527,0.0%,Desh Bhakt Party, AC View
24,24,Balwant Singh Parwana,490,0.0%,Akhil Bharat Hindu Mahasabha, AC View
25,25,Satish Kumar Tyagi,429,0.0%,Independent, AC View
26,26,Ram Singh,400,0.0%,Independent, AC View
