x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ranvijay Singh,10800,"61,496",40.1%,Bharatiya Janta Party,
2,2,Aniruddh Kumar,10800,"53,594",35.0%,Rashtriya Janata Dal,
3,3,Akhilesh Kumar,200,"12,070",7.9%,Bahujan Samaj Party,
4,4,Jitendra Yadav,200,"11,123",7.3%,Independent,
5,5,Surendra Paswan,200,"2,791",1.8%,Communist Party Of India,
6,6,Ravi Kumar,200,"2,193",1.4%,Independent,
7,7,Sita Devi,200,"2,050",1.3%,Independent,
8,8,Ranjit Kumar,200,"1,755",1.1%,Independent,
9,9,Prabhat Singh,200,683,0.5%,Samajwadi Party,
10,10,Chitranjan Kumar,200,569,0.4%,Independent,
11,11,Subrat Kumar Yadav,200,503,0.3%,Jan Adhikar Party (Loktantrik),
12,12,Pramod Kumar Nirala,200,421,0.3%,Garib Janta Dal (Secular),
13,13,Kundan Kumar,200,365,0.2%,Independent,
